State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andhra-pradesh,2021,1,516001,2941623,2941623
andhra-pradesh,2021,1,515001,2815993,2815993
andhra-pradesh,2021,1,522001,2584588,2584588
andhra-pradesh,2021,1,520010,2291676,2291676
andhra-pradesh,2021,2,524002,11023032,11023032
andhra-pradesh,2021,2,530026,7850540,7850540
andhra-pradesh,2021,2,520002,5441708,5441708
andhra-pradesh,2021,2,517501,4614209,4614209
andhra-pradesh,2021,2,517507,3834825,3834825
andhra-pradesh,2021,2,522001,3427039,3427039
andhra-pradesh,2021,2,515001,3052771,3052771
andhra-pradesh,2021,2,530016,2892664,2892664
andhra-pradesh,2021,2,516001,2613562,2613562
andhra-pradesh,2021,2,518002,2553688,2553688
andhra-pradesh,2021,3,524002,10701326,10701326
andhra-pradesh,2021,3,530026,9780096,9780096
andhra-pradesh,2021,3,517501,5982442,5982442
andhra-pradesh,2021,3,520002,5320101,5320101
andhra-pradesh,2021,3,517507,4866065,4866065
andhra-pradesh,2021,3,522001,4242875,4242875
andhra-pradesh,2021,3,530016,4177023,4177023
andhra-pradesh,2021,3,515001,4040160,4040160
andhra-pradesh,2021,3,516001,3370675,3370675
andhra-pradesh,2021,3,520010,3206301,3206301
andhra-pradesh,2021,4,524002,14158439,14158439
andhra-pradesh,2021,4,530026,10216678,10216678
andhra-pradesh,2021,4,517501,7246667,7246667
andhra-pradesh,2021,4,517507,5790910,5790910
andhra-pradesh,2021,4,520002,5716025,5716025
andhra-pradesh,2021,4,530016,5252680,5252680
andhra-pradesh,2021,4,522001,4989759,4989759
andhra-pradesh,2021,4,515001,4892740,4892740
andhra-pradesh,2021,4,520010,4198904,4198904
andhra-pradesh,2021,4,516001,4058071,4058071
andhra-pradesh,2022,1,524002,16133298,16133298
andhra-pradesh,2022,1,530026,10293117,10293117
andhra-pradesh,2022,1,517501,8062447,8062447
andhra-pradesh,2022,1,517507,6660899,6660899
andhra-pradesh,2022,1,520002,6254668,6254668
andhra-pradesh,2022,1,522001,5691035,5691035
andhra-pradesh,2022,1,515001,5585462,5585462
andhra-pradesh,2022,1,530016,5554647,5554647
andhra-pradesh,2022,1,516001,4513789,4513789
andhra-pradesh,2022,1,520010,4492155,4492155
andhra-pradesh,2022,2,524002,18822839,18822839
andhra-pradesh,2022,2,530026,12256092,12256092
andhra-pradesh,2022,2,517501,9320394,9320394
andhra-pradesh,2022,2,517507,7667416,7667416
andhra-pradesh,2022,2,520002,7584902,7584902
andhra-pradesh,2022,2,530016,6470271,6470271
andhra-pradesh,2022,2,515001,6291639,6291639
andhra-pradesh,2022,2,522001,6073875,6073875
